,,,D=!,phi1,teta12,Xt(1),,,,,,,
t,Pre,Residuos,dpre,-0.169178526,-0.686832399,,,,,,,,
325,1058,-881.8831044,460,7.613033678,1349.49614,,,,,,,,
326,1718,391.4781759,168,-77.82212204,-301.3002984,,,,,,,,
327,2118,948.8284128,952,-28.4219924,-25.25040527,,,,,,,,
328,1411,-868.7088059,-429,-161.0579569,278.6508494,,,,,,,,
329,330,-80.27567568,187,72.57758773,339.8532639,,,,,,,,
330,473,391.8077324,407,-31.63638439,-16.44411678,,,,,,,,
331,5,-103.5070287,-67,-68.85566015,-32.34863148,,,,,,,,
332,226,34.66753102,-300,11.33496125,-323.3325702,,,,,,,,
333,249,182.6361999,249,50.75355785,117.1173581,,,,,,,,
334,375,247.3992167,375,-42.12545302,85.47533045,,,,,,,,
335,402,178.8935835,269,-63.44194731,26.66446926,,,,,,,,
336,782,-86.54945743,-17,-45.50902354,24.04043385,,,,,,,,
337,3648,1987.170147,2590,2.876034945,605.705888,,,,,,,,
338,2444,556.7075116,726,-438.1723828,-268.8798946,,,,,,,,
339,1492,-97.13751572,-626,-122.82361,-651.6860947,,,,,,,,
340,880,-1021.751595,-531,105.9057574,596.6573529,,,,,,,,
341,390,94.69786255,60,89.83379739,55.13593488,,,,,,,,
342,10,-204.0444671,-463,-10.15071157,-269.1062446,,,,,,,,
343,15,17.23767686,10,78.32965762,71.09198081,,,,,,,,
344,0,-203.8810018,-226,-1.691785262,-23.81078349,,,,,,,,
345,231,145.6748061,-18,38.23434691,-125.4404593,,,,,,,,
346,58,-144.0329892,-317,3.045213471,-169.9217974,,,,,,,,
347,240,14.49950176,-162,53.6295928,-122.869909,,,,,,,,
348,1359,544.9619499,577,27.40692124,59.44497145,,,,,,,,
349,860,-1520.763171,-2788,-97.6160096,-1364.852839,,,,,,,,
350,793,-796.9655136,-1651,471.669731,-382.3647556,,,,,,,,
351,1256,-23.40344621,-236,279.3137467,66.71719292,,,,,,,,
352,445,-1096.845967,-435,39.92613218,701.7720989,,,,,,,,
353,1001,749.6342189,611,73.59265888,-65.04156008,,,,,,,,
354,6,-247.5124302,-4,-103.3680795,140.1443508,,,,,,,,
355,0,-2.483890958,-15,0.676714105,-11.83939494,,,,,,,,
356,91,-46.49439957,91,2.537677893,140.0320775,,,,,,,,
357,403,256.6589306,172,-15.39524588,-100.0541765,,,,,,,,
358,171,-15.02522995,113,-29.0987065,98.92652348,,,,,,,,
359,0,-249.1584459,-240,-19.11717346,-9.95872757,,,,,,,,
360,109,-835.0996306,-1250,40.60284628,-374.2975233,,,,,,,,
361,1493,-200.0362588,633,211.4731577,1044.509417,,,,,,,,
362,1245,-202.4717423,452,-107.0900071,547.3817354,,,,,,,,
363,1015,-333.5429389,-241,-76.46869383,16.0742451,,,,,,,,
364,2323,1165.422679,1878,40.77202481,753.3493462,,,,,,,,
365,513,-290.8442035,-488,-317.7172721,-514.8730687,,,,,,,,
366,167,73.55956464,161,82.55912077,169.9995562,,,,,,,,
367,137,108.0562405,137,-27.23774271,1.706016785,,,,,,,,
368,277,130.8886819,186,-23.17745808,31.93385998,,,,,,,,
369,105,-153.185537,-298,-31.46720587,-176.2816689,,,,,,,,
370,145,14.09538607,-26,50.4152008,10.31981473,,,,,,,,
371,0,-166.7314513,0,4.39864168,171.130093,,,,,,,,
372,899,216.4265176,790,0,573.5734824,,,,,,,,
373,2250,485.9575809,757,-133.6510357,137.3913834,,,,,,,,
374,1537,24.86770324,292,-128.0681443,139.0641525,,,,,,,,
375,1807,513.5117736,792,-49.40012964,229.0880968,,,,,,,,
376,3180,1523.460661,857,-133.9893927,-800.4500539,,,,,,,,
377,462,-395.7472188,-51,-144.9859969,199.7612219,,,,,,,,
